,date,lat,long,pano_id,name,pano_yaw_deg,tilt_yaw_deg,tilt_pitch_deg
16416,2017-10,43.131255100000004,-87.95840009999999,psKFdrJ_MDUmoNeAhpk0KA,7373,91.619995,78.46,0.85999995
16417,2015-10,43.11561135665101,-87.95881378699859,ncibs6OZHLGmcmbXIzX7bA,7374,114.689995,80.31,1.22
16418,2015-10,43.0965436,-87.95928620000001,ZRrV6FqSsglMw6Z0_wQoJA,7375,40.239998,82.86,2.37
16419,2015-10,43.100758854299144,-87.95918231785866,pu7p56JlmT3QWnMNDzoMkA,7376,180,100.32,1.4599999
16420,2017-10,43.1098259,-87.9589173,RfMWCnwoYvFIs5lID5FyMA,7377,4.45,-69.47,2.32
16421,2015-10,43.106426516285744,-87.95901891279645,HUznwwCuKE7xwZo8KvV2Xg,7378,89.28,15.049999,1.63
16422,2015-10,43.0989485,-87.95922359999999,xWleh9jfoOT4GmDW3V_9Mw,7379,180.69,-160.58,1.06
16423,2019-05,42.95932623517702,-88.01447181769352,c4qgRSUy-rNYlSo-MSd0jw,738,271.12,-137.83,2.11
16424,2018-08,43.1046,-87.9591301,d17ppzNWDvTiBwDJYs42Nw,7380,91.65,-151.09,0.62
16425,2017-10,43.1174343,-87.95873470000001,-CJhzyZ07y6ZWPN33YXAYQ,7381,2.28,-36.16,0.74
16426,2015-10,43.11378248470784,-87.95881674889021,CEzmR0nNdgMsJEoZZbZBfQ,7382,269.91,-107.22,2.32
16427,2015-10,43.128891772964536,-87.95846282645901,nhsYoKz5Frzi1f7g2cjAfA,7383,180.06,45.11,0.64
16428,2016-10,43.12143861251853,-87.95862409106523,Osv3fXEg1Ku3gHNJAQ3jkA,7384,91.409996,-159.5,0.83
16429,2018-08,43.11194812285571,-87.95886653550333,bBfwC3va1RrfPnCDhr38xA,7385,91.74,-147.65,0.51
16430,2015-10,43.095304999999996,-87.9593189,ldrR6W5o-3T-ta998Lah4Q,7386,89.979996,-50.84,0.28
16431,2016-11,43.11916377201508,-87.95867473079873,CeXZjFXtiJl1j7Y_GAyuEA,7387,142.12999,-5.23,0.84
16432,2011-07,43.12456702797584,-87.9485686762677,cSX6VZYoz3nYQbmk7bSdoQ,7388,216.98,-58.19,0.66999996
16433,2011-07,43.122766457493476,-87.94863687950766,PVkigPhVv5dq0JtHfRBrgQ,7389,89.509995,157.58,2.47
16434,2017-07,42.9315229,-87.953707,z7YFu-p3tS9EIszqAUzI3w,739,263.75998,162.94,3.3899999
16435,2011-07,43.1237383,-87.94859559999999,MGamsssYJtNsdbMQB1QaEA,7390,87.65,122.88,1.64
16436,2017-08,43.1082692,-87.960847,Yauv_HAzb-vy6ygrTY066g,7391,269.74,-175.95999,3.21
16437,2015-10,43.10983530249464,-87.9608159654513,NESEibWQo3HpXuxNZTYaUg,7392,91.34,16.59,1.11
16438,2015-10,43.11062626331842,-87.9515672301128,EMFzYdkc7KJryb-kghb2NQ,7393,1.35,-8.7699995,1.4599999
16439,2015-10,43.107310299999995,-87.9516318,EKTVge2xOrxYphdaKU8IeQ,7394,271.08,42.09,0.21
16440,2015-10,43.10821046165554,-87.95163238216325,nAdcjyUF9QuhA05q7du-Rw,7395,182.2,-123.299995,1.87
16441,2015-10,43.10981345657726,-87.95159003846341,_vyLmwcSxWkjEedCc5xg7w,7396,29.96,-52.69,1.25
16442,2018-08,43.1118719,-87.951543,ulyKUlbGWktxvy-LCJoQ6Q,7397,92.369995,-73.38,0.39999998
16443,2018-08,43.111822100000005,-87.94776929999999,EdtyT5FuY56jpEl7DAyosg,7398,91.97,32.399998,0.22
